Merk Mobil;Nama Mobil;Tahun Produksi;Harga Mobil (USD);Berat Mobil (Kg);KapasitasMesin (Cc);Output Horsepower (Hp);Output Torsi (Nm);Negara Kendaraan;Jenis Kendaraan
Nissan;Leaf;2017;24000;1600;1400;150;160;Asia;Hybrid
Chevrolet;Bolt;2022;30000;1400;1600;200;220;Amerika;Hybrid
BMW;i3;2016;28000;1200;1300;170;180;Eropa;Hybrid
Volkswagen;ID.4;2021;35000;1700;2200;201;229;Eropa;Hybrid
Tesla;Model 3;2019;45000;1800;2500;283;307;Amerika;Hybrid
Ford;Mustang Mach-E;2020;55000;2000;2800;346;428;Amerika;Hybrid
Audi;e-Tron;2018;60000;2400;3700;355;414;Eropa;Hybrid
Jaguar;I-PACE;2021;65000;2100;3200;394;512;Eropa;Hybrid
Porsche;Taycan;2019;80000;2300;3400;402;472;Eropa;Hybrid
Mercedes; EQC;2020;70000;2200;2800;402;760;Eropa;Hybrid
Rivian;R1T;2022;75000;2600;3800;700;825;Amerika;Hybrid
Lucid;Air;2021;85000;2400;3300;620;653;Amerika;Hybrid
Lexus;RX;2020;45000;1900;3000;290;315;Asia;Bensin
Infiniti;QX60;2018;35000;1750;2700;295;330;Asia;Bensin
Buick;Enclave;2019;38000;1850;3200;310;355;Amerika;Bensin
Mazda;CX-9;2017;30000;1600;2500;250;310;Asia;Bensin
Audi;Q7;2021;55000;2000;3000;335;369;Eropa;Bensin
Volkswagen;Atlas;2020;32000;1800;2600;276;266;Amerika;Bensin
Volvo;XC90;2018;60000;2200;3200;316;295;Eropa;Bensin
Tesla;Model X;2017;90000;2300;3700;518;660;Amerika;Hybrid
Chevrolet;Tahoe;2022;65000;2500;5300;355;383;Amerika;Bensin
GMC;Suburban;2019;70000;2600;5400;360;516;Amerika;Bensin
Ford;Edge;2018;32000;1700;2300;250;275;Amerika;Bensin
Hyundai;Palisade;2021;40000;2000;3300;291;262;Asia;Bensin
Kia;Telluride;2020;38000;1950;3200;291;262;Asia;Bensin
BMW;X5;2019;58000;2200;3000;335;330;Eropa;Bensin
Land Rover;Defender;2021;50000;2200;2400;296;400;Eropa;Bensin
Mitsubishi;Pajero;2018;45000;2400;3200;290;324;Asia;Bensin
Nissan;Armada;2020;55000;2600;5600;400;560;Amerika;Bensin
Toyota;Land Cruiser;2019;85000;2800;4700;381;401;Asia;Bensin
Jeep;Wrangler;2021;30000;1800;3600;285;352;Amerika;Bensin
Ford;Bronco;2022;35000;2000;3300;310;400;Amerika;Bensin
Chevrolet;Trailblazer;2018;25000;1500;1800;170;203;Amerika;Bensin
Kia;Soul;2020;20000;1300;1600;147;132;Asia;Bensin
Subaru;Crosstrek;2019;23000;1400;2000;152;145;Asia;Bensin
Mazda;CX-3;2017;21000;1200;1500;148;146;Asia;Bensin
Hyundai;Kona;2021;25000;1350;1800;175;195;Asia;Bensin
Ford;EcoSport;2018;19000;1200;1500;123;149;Amerika;Bensin
Chevrolet;Trax;2020;22000;1250;1400;138;148;Amerika;Bensin
Honda;HR-V;2019;24000;1350;1800;141;127;Asia;Bensin
Toyota;C-HR;2018;23000;1300;1600;144;132;Asia;Bensin
Nissan;Kicks;2021;21000;1250;1500;122;155;Amerika;Bensin
Jeep;Compass;2017;26000;1500;2400;180;175;Amerika;Bensin
Subaru;Impreza;2018;22000;1250;1600;152;145;Asia;Bensin
Mazda;3;2019;24000;1300;1800;186;186;Asia;Bensin
Honda;Civic;2021;25000;1400;2000;180;177;Asia;Bensin
Toyota;Corolla;2018;22000;1300;1600;132;128;Asia;Bensin
Chevrolet;Malibu;2019;26000;1400;2000;160;185;Amerika;Bensin
Ford;Fiesta;2017;18000;1100;1300;120;112;Amerika;Bensin
Hyundai;Accent;2020;19000;1200;1500;120;132;Asia;Bensin
Nissan;Versa;2018;20000;1150;1500;122;114;Amerika;Bensin
Honda;Fit;2021;21000;1100;1300;130;114;Asia;Bensin
Toyota;Prius;2019;25000;1300;1800;121;120;Asia;Hybrid
Chevrolet;Sonic;2018;19000;1150;1400;138;148;Amerika;Bensin
Mazda;2;2020;20000;1100;1300;115;113;Asia;Bensin
Volkswagen;Golf;2017;22000;1200;1600;170;184;Eropa;Bensin
Ford;Fusion;2018;24000;1350;2000;181;185;Amerika;Bensin
Hyundai;Sonata;2019;26000;1450;2200;178;198;Asia;Bensin
Nissan;Altima;2020;25000;1400;2000;188;180;Asia;Bensin
Honda;Accord;2018;28000;1550;2400;192;192;Asia;Bensin
Toyota;Camry;2021;30000;1600;2500;206;250;Asia;Bensin
